jurisdiction|agency_id|agency_slug|agency
slidell|79|slidell-pd|Slidell Police Department
louisiana_state|78|louisiana-state-pd|Louisiana State Police Department
mandeville|67|mandeville-pd|Mandeville Police Department
kenner|77|kenner-pd|Kenner Police Department
carencro|112|carencro-pd|Carencro Police Department
east_baton_rouge|62|baton-rouge-pd|Baton Rouge Police Department
bossier|||
westwego|||
broussard|||
lake_charles|105|lake-charles-pd|Lake Charles Police Department
youngsville|119|youngsville-pd|Youngsville Police Department
sulphur|||
shreveport|86|shreveport-pd|Shreveport Police Department
